P1_WINS,MINUTES,T_NAME,SURFACE,P1_NAME,P2_NAME,P1_RANK,P2_RANK,T_DATE,P1_AGE,P2_AGE
0,120.0,Madrid Masters,Clay,Albert Montanes,Jurgen Melzer,28,27,2009-05-10,28,27
1,92.0,Madrid Masters,Clay,Philipp Kohlschreiber,Nicolas Almagro,35,34,2009-05-10,25,23
1,149.0,Madrid Masters,Clay,Marin Cilic,Marcel Granollers,14,90,2009-05-10,20,23
0,84.0,Madrid Masters,Clay,Guillermo Canas,David Ferrer,108,13,2009-05-10,31,27
0,130.0,Madrid Masters,Clay,Feliciano Lopez,Juan Monaco,32,47,2009-05-10,27,25
0,131.0,Madrid Masters,Clay,Igor Kunitsyn,Juan Carlos Ferrero,39,115,2009-05-10,27,29
1,91.0,Madrid Masters,Clay,Oscar Hernandez,Martin Vassallo Arguello,65,49,2009-05-10,31,29
1,107.0,Madrid Masters,Clay,Andreas Seppi,Eduardo Schwank,36,68,2009-05-10,25,23
1,90.0,Madrid Masters,Clay,Jo-Wilfried Tsonga,Marat Safin,9,20,2009-05-10,24,29
1,68.0,Madrid Masters,Clay,Ivan Ljubicic,Teymuraz Gabashvili,54,78,2009-05-10,30,23
0,109.0,Madrid Masters,Clay,Guillermo Garcia Lopez,Tomas Berdych,77,22,2009-05-10,25,23
1,65.0,Madrid Masters,Clay,Jeremy Chardy,Jose Acasuso,40,44,2009-05-10,22,26
0,59.0,Madrid Masters,Clay,Marco Crugnola,Stan Wawrinka,188,18,2009-05-10,25,24
0,119.0,Madrid Masters,Clay,Nicolas Kiefer,Tommy Robredo,29,17,2009-05-10,31,27
1,125.0,Madrid Masters,Clay,Mardy Fish,Janko Tipsarevic,26,62,2009-05-10,27,24
0,117.0,Madrid Masters,Clay,Juan Ignacio Chela,Simone Bolelli,197,61,2009-05-10,29,23
0,138.0,Madrid Masters,Clay,Ernests Gulbis,Tommy Haas,42,75,2009-05-10,20,31
0,64.0,Madrid Masters,Clay,Rainer Schuettler,Florent Serra,31,51,2009-05-10,33,28
0,79.0,Madrid Masters,Clay,Viktor Troicki,Nikolay Davydenko,41,11,2009-05-10,23,27
0,68.0,Madrid Masters,Clay,Victor Hanescu,James Blake,33,16,2009-05-10,27,29
0,132.0,Madrid Masters,Clay,Julien Benneteau,Ivo Karlovic,45,25,2009-05-10,27,30
1,71.0,Madrid Masters,Clay,Robin Soderling,Ivan Navarro,23,84,2009-05-10,24,27
1,62.0,Madrid Masters,Clay,Rafael Nadal,Jurgen Melzer,1,27,2009-05-10,22,27
0,175.0,Madrid Masters,Clay,Marin Cilic,Philipp Kohlschreiber,14,35,2009-05-10,20,25
0,90.0,Madrid Masters,Clay,David Ferrer,Juan Monaco,13,47,2009-05-10,27,25
0,96.0,Madrid Masters,Clay,Juan Carlos Ferrero,Fernando Verdasco,115,8,2009-05-10,29,25
0,99.0,Madrid Masters,Clay,Oscar Hernandez,Novak Djokovic,65,4,2009-05-10,31,21
1,117.0,Madrid Masters,Clay,Andreas Seppi,Sam Querrey,36,60,2009-05-10,25,21
0,100.0,Madrid Masters,Clay,Jo-Wilfried Tsonga,Ivan Ljubicic,9,54,2009-05-10,24,30
1,71.0,Madrid Masters,Clay,Gilles Simon,Fabio Fognini,7,72,2009-05-10,24,21
1,98.0,Madrid Masters,Clay,Stan Wawrinka,Jeremy Chardy,18,40,2009-05-10,24,22
0,134.0,Madrid Masters,Clay,Mardy Fish,Tommy Robredo,26,17,2009-05-10,27,27
0,128.0,Madrid Masters,Clay,Simone Bolelli,Andy Murray,61,3,2009-05-10,23,21
1,143.0,Madrid Masters,Clay,Andy Roddick,Tommy Haas,6,75,2009-05-10,26,31
0,87.0,Madrid Masters,Clay,Florent Serra,Nikolay Davydenko,51,11,2009-05-10,28,27
0,124.0,Madrid Masters,Clay,Ivo Karlovic,James Blake,25,16,2009-05-10,30,29
1,70.0,Madrid Masters,Clay,Roger Federer,Robin Soderling,2,23,2009-05-10,27,24
0,108.0,Madrid Masters,Clay,Juan Monaco,Fernando Verdasco,47,8,2009-05-10,25,25
0,98.0,Madrid Masters,Clay,Andreas Seppi,Novak Djokovic,36,4,2009-05-10,25,21
0,130.0,Madrid Masters,Clay,Gilles Simon,Ivan Ljubicic,7,54,2009-05-10,24,30
0,176.0,Madrid Masters,Clay,Stan Wawrinka,Juan Martin del Potro,18,5,2009-05-10,24,20
1,104.0,Madrid Masters,Clay,Andy Murray,Tommy Robredo,3,17,2009-05-10,21,27
0,62.0,Madrid Masters,Clay,James Blake,Roger Federer,16,2,2009-05-10,29,27
0,119.0,Madrid Masters,Clay,Fernando Verdasco,Rafael Nadal,8,1,2009-05-10,25,22
1,105.0,Madrid Masters,Clay,Novak Djokovic,Ivan Ljubicic,4,54,2009-05-10,21,30
1,112.0,Madrid Masters,Clay,Juan Martin del Potro,Andy Murray,5,3,2009-05-10,20,21
0,131.0,Madrid Masters,Clay,Andy Roddick,Roger Federer,6,2,2009-05-10,26,27
0,243.0,Madrid Masters,Clay,Novak Djokovic,Rafael Nadal,4,1,2009-05-10,21,22
1,81.0,Madrid Masters,Clay,Roger Federer,Juan Martin del Potro,2,5,2009-05-10,27,20
1,86.0,Madrid Masters,Clay,Roger Federer,Rafael Nadal,2,1,2009-05-10,27,22
1,96.0,Bangkok,Hard,Ernests Gulbis,Somdev Devvarman,99,133,2009-09-28,21,24
0,74.0,Bangkok,Hard,Florian Mayer,Marco Chiudinelli,93,116,2009-09-28,25,28
1,97.0,Bangkok,Hard,Marat Safin,Philipp Petzschner,58,36,2009-09-28,29,25
1,117.0,Bangkok,Hard,Thomaz Bellucci,Guillermo Garcia Lopez,61,54,2009-09-28,21,26
1,123.0,Bangkok,Hard,Mischa Zverev,Leonardo Mayer,50,62,2009-09-28,22,22
1,132.0,Bangkok,Hard,John Isner,Kittipong Wachiramanowong,48,585,2009-09-28,24,19
0,56.0,Bangkok,Hard,Marcos Daniel,Jurgen Melzer,90,44,2009-09-28,31,28
0,119.0,Bangkok,Hard,Benjamin Becker,Marsel Ilhan,40,174,2009-09-28,28,22
0,107.0,Bangkok,Hard,Edouard Roger Vasselin,Andreas Beck,149,42,2009-09-28,25,23
0,168.0,Bangkok,Hard,Fabrice Santoro,Evgeny Korolev,39,66,2009-09-28,36,21
0,70.0,Bangkok,Hard,Danai Udomchoke,Robby Ginepri,142,71,2009-09-28,28,26
1,72.0,Bangkok,Hard,Kevin Kim,Rainer Schuettler,105,95,2009-09-28,31,33
1,132.0,Bangkok,Hard,Jo-Wilfried Tsonga,Ernests Gulbis,7,99,2009-09-28,24,21
1,89.0,Bangkok,Hard,Marco Chiudinelli,Marat Safin,116,58,2009-09-28,28,29
0,88.0,Bangkok,Hard,Thomaz Bellucci,Viktor Troicki,61,32,2009-09-28,21,23
1,84.0,Bangkok,Hard,John Isner,Mischa Zverev,48,50,2009-09-28,24,22
0,67.0,Bangkok,Hard,Marsel Ilhan,Jurgen Melzer,174,44,2009-09-28,22,28
1,120.0,Bangkok,Hard,Andreas Beck,Donald Young,42,156,2009-09-28,23,20
0,43.0,Bangkok,Hard,Robby Ginepri,Evgeny Korolev,71,66,2009-09-28,26,21
1,62.0,Bangkok,Hard,Gilles Simon,Kevin Kim,10,105,2009-09-28,24,31
1,142.0,Bangkok,Hard,Jo-Wilfried Tsonga,Marco Chiudinelli,7,116,2009-09-28,24,28
1,80.0,Bangkok,Hard,Viktor Troicki,John Isner,32,48,2009-09-28,23,24
1,67.0,Bangkok,Hard,Jurgen Melzer,Andreas Beck,44,42,2009-09-28,28,23
1,103.0,Bangkok,Hard,Gilles Simon,Evgeny Korolev,10,66,2009-09-28,24,21
1,98.0,Bangkok,Hard,Viktor Troicki,Jo-Wilfried Tsonga,32,7,2009-09-28,23,24
1,108.0,Bangkok,Hard,Gilles Simon,Jurgen Melzer,10,44,2009-09-28,24,28
1,76.0,Bangkok,Hard,Gilles Simon,Viktor Troicki,10,32,2009-09-28,24,23
1,75.0,Zagreb,Hard,Ivan Dodig,Igor Andreev,425,21,2009-02-02,24,25
0,116.0,Zagreb,Hard,Dmitry Tursunov,Ernests Gulbis,30,45,2009-02-02,26,20
0,92.0,Zagreb,Hard,Mikhail Youzhny,Teymuraz Gabashvili,62,59,2009-02-02,26,23
1,142.0,Zagreb,Hard,Mario Ancic,Lukas Lacko,29,352,2009-02-02,24,21
1,141.0,Zagreb,Hard,Paul Henri Mathieu,Roko Karanusic,34,88,2009-02-02,27,26
0,81.0,Zagreb,Hard,Nikola Mektic,Jan Hernych,556,78,2009-02-02,20,29
0,90.0,Zagreb,Hard,Lovro Zovko,Victor Hanescu,769,41,2009-02-02,27,27
0,121.0,Zagreb,Hard,Andreas Seppi,Mischa Zverev,33,79,2009-02-02,24,21
0,84.0,Zagreb,Hard,Simone Bolelli,Viktor Troicki,37,49,2009-02-02,23,22
1,58.0,Zagreb,Hard,Ivan Ljubicic,Christophe Rochus,48,75,2009-02-02,29,30
0,109.0,Zagreb,Hard,Dominik Hrbaty,Sergiy Stakhovsky,209,82,2009-02-02,31,23
1,62.0,Zagreb,Hard,Ivo Karlovic,Philipp Petzschner,25,67,2009-02-02,29,24
1,56.0,Zagreb,Hard,Evgeny Korolev,Jurgen Melzer,115,32,2009-02-02,20,27
1,121.0,Zagreb,Hard,Antonio Veic,Guillermo Canas,255,68,2009-02-02,20,31
0,114.0,Zagreb,Hard,Marc Gicquel,Florent Serra,54,57,2009-02-02,31,27
1,87.0,Zagreb,Hard,Marin Cilic,Arnaud Clement,22,80,2009-02-02,20,31
1,105.0,Zagreb,Hard,Ivan Dodig,Ernests Gulbis,425,45,2009-02-02,24,20
0,68.0,Zagreb,Hard,Teymuraz Gabashvili,Mario Ancic,59,29,2009-02-02,23,24
0,141.0,Zagreb,Hard,Paul Henri Mathieu,Jan Hernych,34,78,2009-02-02,27,29
1,157.0,Zagreb,Hard,Mischa Zverev,Victor Hanescu,79,41,2009-02-02,21,27
1,139.0,Zagreb,Hard,Viktor Troicki,Ivan Ljubicic,49,48,2009-02-02,22,29
0,93.0,Zagreb,Hard,Ivo Karlovic,Sergiy Stakhovsky,25,82,2009-02-02,29,23
1,150.0,Zagreb,Hard,Antonio Veic,Evgeny Korolev,255,115,2009-02-02,20,20
0,83.0,Zagreb,Hard,Florent Serra,Marin Cilic,57,22,2009-02-02,27,20
1,83.0,Zagreb,Hard,Mario Ancic,Ivan Dodig,29,425,2009-02-02,24,24
1,67.0,Zagreb,Hard,Viktor Troicki,Sergiy Stakhovsky,49,82,2009-02-02,22,23
1,98.0,Zagreb,Hard,Marin Cilic,Antonio Veic,22,255,2009-02-02,20,20
0,187.0,Zagreb,Hard,Jan Hernych,Mario Ancic,78,29,2009-02-02,29,24
0,86.0,Zagreb,Hard,Viktor Troicki,Marin Cilic,49,22,2009-02-02,22,20
0,91.0,Zagreb,Hard,Mario Ancic,Marin Cilic,29,22,2009-02-02,24,20
1,117.0,Auckland,Hard,Ernests Gulbis,Marcel Granollers,51,50,2009-01-12,20,22
1,54.0,Auckland,Hard,Viktor Troicki,Igor Kunitsyn,53,43,2009-01-12,22,27
0,90.0,Auckland,Hard,Victor Hanescu,Juan Monaco,44,49,2009-01-12,27,24
1,163.0,Auckland,Hard,Bobby Reynolds,Oscar Hernandez,68,67,2009-01-12,26,30
1,73.0,Auckland,Hard,Robby Ginepri,Jose Rubin Statham,47,413,2009-01-12,26,21
0,90.0,Auckland,Hard,Albert Montanes,John Isner,42,144,2009-01-12,28,23
1,74.0,Auckland,Hard,Sam Querrey,Daniel King Turner,36,463,2009-01-12,21,24
1,64.0,Auckland,Hard,Gilles Muller,Florent Serra,95,58,2009-01-12,25,27
0,113.0,Auckland,Hard,Steve Darcis,Yen Hsun Lu,57,61,2009-01-12,24,25
0,52.0,Auckland,Hard,Dominik Hrbaty,Philipp Kohlschreiber,250,33,2009-01-12,31,25
1,117.0,Auckland,Hard,Marc Gicquel,Agustin Calleri,52,66,2009-01-12,31,32
1,103.0,Auckland,Hard,Juan Martin del Potro,Ernests Gulbis,9,51,2009-01-12,20,20
0,148.0,Auckland,Hard,Juan Monaco,Viktor Troicki,49,53,2009-01-12,24,22
0,96.0,Auckland,Hard,Bobby Reynolds,Robin Soderling,68,17,2009-01-12,26,24
0,144.0,Auckland,Hard,Robby Ginepri,John Isner,47,144,2009-01-12,26,23
1,100.0,Auckland,Hard,Sam Querrey,Gilles Muller,36,95,2009-01-12,21,25
0,119.0,Auckland,Hard,Yen Hsun Lu,Nicolas Almagro,61,18,2009-01-12,25,23
1,132.0,Auckland,Hard,Philipp Kohlschreiber,Juan Carlos Ferrero,33,65,2009-01-12,25,28
1,156.0,Auckland,Hard,David Ferrer,Marc Gicquel,12,52,2009-01-12,26,31
1,83.0,Auckland,Hard,Juan Martin del Potro,Viktor Troicki,9,53,2009-01-12,20,22
0,59.0,Auckland,Hard,John Isner,Robin Soderling,144,17,2009-01-12,23,24
1,63.0,Auckland,Hard,Sam Querrey,Nicolas Almagro,36,18,2009-01-12,21,23
1,77.0,Auckland,Hard,Juan Martin del Potro,Robin Soderling,9,17,2009-01-12,20,24
1,127.0,Auckland,Hard,Sam Querrey,David Ferrer,36,12,2009-01-12,21,26
1,85.0,Auckland,Hard,Juan Martin del Potro,Sam Querrey,9,36,2009-01-12,20,21
1,51.0,Kitzbuhel,Clay,Diego Junqueira,Paul Capdeville,79,76,2009-05-17,28,26
1,107.0,Kitzbuhel,Clay,Daniel Koellerer,Thomaz Bellucci,81,120,2009-05-17,25,21
0,108.0,Kitzbuhel,Clay,Robin Vik,Nicolas Massu,378,122,2009-05-17,29,29
1,81.0,Kitzbuhel,Clay,Julien Benneteau,Dudi Sela,45,55,2009-05-17,27,24
1,59.0,Kitzbuhel,Clay,Oscar Hernandez,Fabrice Santoro,64,42,2009-05-17,31,36
1,137.0,Kitzbuhel,Clay,Andreas Beck,Jan Hernych,61,73,2009-05-17,23,29
1,89.0,Kitzbuhel,Clay,Ruben Ramirez Hidalgo,Mario Ancic,131,38,2009-05-17,31,25
1,133.0,Kitzbuhel,Clay,Juan Ignacio Chela,Marc Gicquel,205,44,2009-05-17,29,32
0,80.0,Kitzbuhel,Clay,Christophe Rochus,Martin Vassallo Arguello,65,51,2009-05-17,30,29
1,80.0,Kitzbuhel,Clay,Guillermo Garcia Lopez,Bjorn Phau,74,71,2009-05-17,25,29
1,134.0,Kitzbuhel,Clay,Marcel Granollers,Teymuraz Gabashvili,95,70,2009-05-17,23,23
0,166.0,Kitzbuhel,Clay,Nicolas Lapentti,Victor Hanescu,108,32,2009-05-17,32,27
1,94.0,Kitzbuhel,Clay,Mikhail Youzhny,Daniel Gimeno Traver,46,98,2009-05-17,26,23
0,92.0,Kitzbuhel,Clay,Philipp Petzschner,Stefan Koubek,68,213,2009-05-17,25,32
0,54.0,Kitzbuhel,Clay,Frederico Gil,Jurgen Melzer,67,26,2009-05-17,24,27
0,63.0,Kitzbuhel,Clay,Diego Junqueira,Daniel Koellerer,79,81,2009-05-17,28,25
0,187.0,Kitzbuhel,Clay,Nicolas Massu,Julien Benneteau,122,45,2009-05-17,29,27
1,128.0,Kitzbuhel,Clay,Oscar Hernandez,Andreas Beck,64,61,2009-05-17,31,23
0,102.0,Kitzbuhel,Clay,Ruben Ramirez Hidalgo,Juan Ignacio Chela,131,205,2009-05-17,31,29
1,186.0,Kitzbuhel,Clay,Guillermo Garcia Lopez,Martin Vassallo Arguello,74,51,2009-05-17,25,29
0,84.0,Kitzbuhel,Clay,Marcel Granollers,Victor Hanescu,95,32,2009-05-17,23,27
0,89.0,Kitzbuhel,Clay,Stefan Koubek,Mikhail Youzhny,213,46,2009-05-17,32,26
1,87.0,Kitzbuhel,Clay,Jurgen Melzer,Agustin Calleri,26,89,2009-05-17,27,32
0,151.0,Kitzbuhel,Clay,Daniel Koellerer,Julien Benneteau,81,45,2009-05-17,25,27
0,95.0,Kitzbuhel,Clay,Juan Ignacio Chela,Oscar Hernandez,205,64,2009-05-17,29,31
0,81.0,Kitzbuhel,Clay,Victor Hanescu,Guillermo Garcia Lopez,32,74,2009-05-17,27,25
0,88.0,Kitzbuhel,Clay,Jurgen Melzer,Mikhail Youzhny,26,46,2009-05-17,27,26
0,89.0,Kitzbuhel,Clay,Oscar Hernandez,Julien Benneteau,64,45,2009-05-17,31,27
0,143.0,Kitzbuhel,Clay,Mikhail Youzhny,Guillermo Garcia Lopez,46,74,2009-05-17,26,25
0,190.0,Kitzbuhel,Clay,Julien Benneteau,Guillermo Garcia Lopez,45,74,2009-05-17,27,25
0,152.0,Munich,Clay,Alexander Peya,Julien Benneteau,183,46,2009-05-03,28,27
1,76.0,Munich,Clay,Daniel Brands,Stefan Koubek,141,215,2009-05-03,21,32
1,138.0,Munich,Clay,Simone Bolelli,Stephane Bohli,50,177,2009-05-03,23,25
1,131.0,Munich,Clay,Potito Starace,Igor Kunitsyn,95,37,2009-05-03,27,27
1,74.0,Munich,Clay,Nicolas Almagro,Jan Hernych,26,66,2009-05-03,23,29
0,95.0,Munich,Clay,Ivo Minar,Mikhail Youzhny,81,64,2009-05-03,24,26
1,66.0,Munich,Clay,Paul Henri Mathieu,Lamine Ouahab,39,140,2009-05-03,27,24
0,69.0,Munich,Clay,Rainer Schuettler,Thiemo De Bakker,30,236,2009-05-03,33,20
0,157.0,Munich,Clay,Philipp Petzschner,Lleyton Hewitt,70,55,2009-05-03,25,28
0,87.0,Munich,Clay,Mischa Zverev,Andreas Beck,56,58,2009-05-03,21,23
1,91.0,Munich,Clay,Tomas Berdych,Sascha Kloer,28,495,2009-05-03,23,23
0,93.0,Munich,Clay,Ernests Gulbis,Nicolas Kiefer,42,29,2009-05-03,20,31
1,57.0,Munich,Clay,Jeremy Chardy,Evgeny Korolev,40,84,2009-05-03,22,21
1,75.0,Munich,Clay,Marin Cilic,Dieter Kindlmann,15,210,2009-05-03,20,26
0,135.0,Munich,Clay,Julien Benneteau,Daniel Brands,46,141,2009-05-03,27,21
0,114.0,Munich,Clay,Simone Bolelli,Potito Starace,50,95,2009-05-03,23,27
1,86.0,Munich,Clay,Mikhail Youzhny,Nicolas Almagro,64,26,2009-05-03,26,23
0,75.0,Munich,Clay,Denis Gremelmayr,Paul Henri Mathieu,164,39,2009-05-03,27,27
0,94.0,Munich,Clay,Thiemo De Bakker,Lleyton Hewitt,236,55,2009-05-03,20,28
1,151.0,Munich,Clay,Tomas Berdych,Andreas Beck,28,58,2009-05-03,23,23
0,95.0,Munich,Clay,Nicolas Kiefer,Jeremy Chardy,29,40,2009-05-03,31,22
1,77.0,Munich,Clay,Marin Cilic,Philipp Kohlschreiber,15,41,2009-05-03,20,25
1,138.0,Munich,Clay,Mikhail Youzhny,Paul Henri Mathieu,64,39,2009-05-03,26,27
0,138.0,Munich,Clay,Lleyton Hewitt,Tomas Berdych,55,28,2009-05-03,28,23
0,118.0,Munich,Clay,Marin Cilic,Jeremy Chardy,15,40,2009-05-03,20,22
1,117.0,Munich,Clay,Mikhail Youzhny,Daniel Brands,64,141,2009-05-03,26,21
0,105.0,Munich,Clay,Jeremy Chardy,Tomas Berdych,40,28,2009-05-03,22,23
0,154.0,Munich,Clay,Mikhail Youzhny,Tomas Berdych,64,28,2009-05-03,26,23
0,111.0,Queen's Club,Grass,Robby Ginepri,Andreas Seppi,114,48,2009-06-08,26,25
1,83.0,Queen's Club,Grass,Gilles Muller,Joshua Goodall,95,199,2009-06-08,26,23
1,46.0,Queen's Club,Grass,Guillermo Garcia Lopez,Yen Hsun Lu,52,67,2009-06-08,26,25
1,88.0,Queen's Club,Grass,Feliciano Lopez,Robert Kendrick,30,76,2009-06-08,27,29
0,68.0,Queen's Club,Grass,Ivo Minar,Denis Istomin,77,79,2009-06-08,25,22
1,63.0,Queen's Club,Grass,Michael Llodra,Evgeny Korolev,126,94,2009-06-08,29,21
1,100.0,Queen's Club,Grass,Andrey Golubev,Bobby Reynolds,74,91,2009-06-08,21,26
0,101.0,Queen's Club,Grass,Paul Capdeville,Steve Darcis,84,73,2009-06-08,26,25
0,96.0,Queen's Club,Grass,Ernests Gulbis,Alberto Martin,69,97,2009-06-08,20,30
0,85.0,Queen's Club,Grass,Andrei Pavel,Paul Henri Mathieu,911,37,2009-06-08,35,27
0,105.0,Queen's Club,Grass,Sergiy Stakhovsky,Ivan Ljubicic,93,75,2009-06-08,23,30
1,93.0,Queen's Club,Grass,Kevin Anderson,Fabio Fognini,163,57,2009-06-08,23,22
0,83.0,Queen's Club,Grass,Jeremy Chardy,Sam Querrey,43,46,2009-06-08,22,21
0,63.0,Queen's Club,Grass,Oscar Hernandez,Mikhail Youzhny,63,44,2009-06-08,31,26
0,54.0,Queen's Club,Grass,James Ward,Marcos Baghdatis,220,81,2009-06-08,22,23
0,97.0,Queen's Club,Grass,Ivan Navarro,Grigor Dimitrov,82,361,2009-06-08,27,18
0,62.0,Queen's Club,Grass,Janko Tipsarevic,Nicolas Mahut,54,146,2009-06-08,24,27
1,60.0,Queen's Club,Grass,Julien Benneteau,Daniel Koellerer,80,92,2009-06-08,27,25
1,88.0,Queen's Club,Grass,Ivo Karlovic,Teymuraz Gabashvili,29,70,2009-06-08,30,24
0,44.0,Queen's Club,Grass,Eduardo Schwank,Lleyton Hewitt,109,49,2009-06-08,23,28
1,55.0,Queen's Club,Grass,Frederico Gil,Daniel Gimeno Traver,78,105,2009-06-08,24,23
1,94.0,Queen's Club,Grass,Kristof Vliegen,Leonardo Mayer,89,71,2009-06-08,26,22
0,59.0,Queen's Club,Grass,Andreas Seppi,Andy Murray,48,3,2009-06-08,25,22
1,88.0,Queen's Club,Grass,Guillermo Garcia Lopez,Gilles Muller,52,95,2009-06-08,26,26
0,122.0,Queen's Club,Grass,Denis Istomin,Feliciano Lopez,79,30,2009-06-08,22,27
1,112.0,Queen's Club,Grass,Mardy Fish,Michael Llodra,25,126,2009-06-08,27,29
1,112.0,Queen's Club,Grass,Gael Monfils,Andrey Golubev,14,74,2009-06-08,22,21
1,63.0,Queen's Club,Grass,Steve Darcis,Alberto Martin,73,97,2009-06-08,25,30
1,84.0,Queen's Club,Grass,Juan Carlos Ferrero,Paul Henri Mathieu,90,37,2009-06-08,29,27
0,119.0,Queen's Club,Grass,Rik De Voest,Xavier Malisse,206,172,2009-06-08,29,28
1,75.0,Queen's Club,Grass,James Blake,Ivan Ljubicic,16,75,2009-06-08,29,30
1,88.0,Queen's Club,Grass,Sam Querrey,Kevin Anderson,46,163,2009-06-08,21,23
0,116.0,Queen's Club,Grass,Marcos Baghdatis,Mikhail Youzhny,81,44,2009-06-08,23,26
1,110.0,Queen's Club,Grass,Gilles Simon,Grigor Dimitrov,7,361,2009-06-08,24,18
0,108.0,Queen's Club,Grass,Marin Cilic,Nicolas Mahut,13,146,2009-06-08,20,27
0,122.0,Queen's Club,Grass,Julien Benneteau,Ivo Karlovic,80,29,2009-06-08,27,30
1,81.0,Queen's Club,Grass,Lleyton Hewitt,Frederico Gil,49,78,2009-06-08,28,24
0,56.0,Queen's Club,Grass,Kristof Vliegen,Andy Roddick,89,6,2009-06-08,26,26
1,70.0,Queen's Club,Grass,Andy Murray,Guillermo Garcia Lopez,3,52,2009-06-08,22,26
1,52.0,Queen's Club,Grass,Mardy Fish,Feliciano Lopez,25,30,2009-06-08,27,27
0,105.0,Queen's Club,Grass,Xavier Malisse,Juan Carlos Ferrero,172,90,2009-06-08,28,29
0,94.0,Queen's Club,Grass,Sam Querrey,James Blake,46,16,2009-06-08,21,29
1,92.0,Queen's Club,Grass,Mikhail Youzhny,Gilles Simon,44,7,2009-06-08,26,24
0,72.0,Queen's Club,Grass,Nicolas Mahut,Ivo Karlovic,146,29,2009-06-08,27,30
0,100.0,Queen's Club,Grass,Lleyton Hewitt,Andy Roddick,49,6,2009-06-08,28,26
1,70.0,Queen's Club,Grass,Andy Murray,Mardy Fish,3,25,2009-06-08,22,27
1,108.0,Queen's Club,Grass,Juan Carlos Ferrero,Steve Darcis,90,73,2009-06-08,29,25
0,76.0,Queen's Club,Grass,Mikhail Youzhny,James Blake,44,16,2009-06-08,26,29
0,82.0,Queen's Club,Grass,Ivo Karlovic,Andy Roddick,29,6,2009-06-08,30,26
1,72.0,Queen's Club,Grass,Andy Murray,Juan Carlos Ferrero,3,90,2009-06-08,22,29
0,68.0,Queen's Club,Grass,James Blake,Andy Murray,16,3,2009-06-08,29,22
1,95.0,Gstaad,Clay,Stan Wawrinka,Federico Delbonis,24,363,2009-07-26,24,18
1,190.0,Gstaad,Clay,Thomaz Bellucci,Michael Lammer,119,188,2009-07-26,21,27
0,128.0,Gstaad,Clay,Farrukh Dustov,Ivan Navarro,511,116,2009-07-26,23,27
0,86.0,Gstaad,Clay,Jose Acasuso,Nicolas Kiefer,48,128,2009-07-26,26,32
1,95.0,Gstaad,Clay,Igor Andreev,Diego Junqueira,27,125,2009-07-26,26,28
0,52.0,Gstaad,Clay,Flavio Cipolla,Jan Hernych,109,84,2009-07-26,25,30
0,167.0,Gstaad,Clay,Gaston Gaudio,Mikhail Youzhny,313,70,2009-07-26,30,27
1,60.0,Gstaad,Clay,Jeremy Chardy,Thierry Ascione,33,261,2009-07-26,22,28
1,118.0,Gstaad,Clay,Marcos Daniel,Paul Henri Mathieu,73,28,2009-07-26,31,27
1,116.0,Gstaad,Clay,Julien Benneteau,Stephane Bohli,58,145,2009-07-26,27,26
1,61.0,Gstaad,Clay,Florent Serra,Martin Vassallo Arguello,50,49,2009-07-26,28,29
0,51.0,Gstaad,Clay,Ivo Minar,Victor Hanescu,65,31,2009-07-26,25,28
1,138.0,Gstaad,Clay,Guillermo Garcia Lopez,Feliciano Lopez,53,39,2009-07-26,26,27
0,155.0,Gstaad,Clay,Marco Chiudinelli,Andreas Beck,172,51,2009-07-26,27,23
1,129.0,Gstaad,Clay,Teymuraz Gabashvili,Paul Capdeville,76,83,2009-07-26,24,26
1,65.0,Gstaad,Clay,Victor Crivoi,Philipp Kohlschreiber,81,23,2009-07-26,27,25
1,75.0,Gstaad,Clay,Thomaz Bellucci,Stan Wawrinka,119,24,2009-07-26,21,24
1,143.0,Gstaad,Clay,Nicolas Kiefer,Ivan Navarro,128,116,2009-07-26,32,27
0,62.0,Gstaad,Clay,Jan Hernych,Igor Andreev,84,27,2009-07-26,30,26
1,121.0,Gstaad,Clay,Jeremy Chardy,Mikhail Youzhny,33,70,2009-07-26,22,27
0,118.0,Gstaad,Clay,Julien Benneteau,Marcos Daniel,58,73,2009-07-26,27,31
1,168.0,Gstaad,Clay,Andreas Beck,Guillermo Garcia Lopez,51,53,2009-07-26,23,26
0,71.0,Gstaad,Clay,Teymuraz Gabashvili,Victor Crivoi,76,81,2009-07-26,24,27
0,67.0,Gstaad,Clay,Jeremy Chardy,Igor Andreev,33,27,2009-07-26,22,26
1,109.0,Gstaad,Clay,Marcos Daniel,Florent Serra,73,50,2009-07-26,31,28
0,105.0,Gstaad,Clay,Victor Crivoi,Andreas Beck,81,51,2009-07-26,27,23
1,98.0,Gstaad,Clay,Thomaz Bellucci,Igor Andreev,119,27,2009-07-26,21,26
1,85.0,Gstaad,Clay,Andreas Beck,Marcos Daniel,51,73,2009-07-26,23,31
1,100.0,Gstaad,Clay,Thomaz Bellucci,Andreas Beck,119,51,2009-07-26,21,23
0,72.0,Newport,Grass,Alejandro Falla,Rajeev Ram,168,181,2009-07-06,25,25
0,106.0,Newport,Grass,Ricardo Mello,Sam Groth,204,266,2009-07-06,28,21
0,98.0,Newport,Grass,Chris Guccione,Jesse Levine,137,129,2009-07-06,23,21
0,97.0,Newport,Grass,Horacio Zeballos,Philipp Petzschner,134,48,2009-07-06,24,25
1,114.0,Newport,Grass,Brendan Evans,Benjamin Becker,136,46,2009-07-06,23,28
